ETF,Short_MA,Long_MA,Total Return,Trade Count
DIA,10,250,1.440699586488721,26.0
SPY,10,250,2.290571705422613,16.0
QQQ,10,250,2.962279445365427,21.0
DIA,10,255,1.5625963702973822,25.0
SPY,10,255,2.1329182896222627,16.0
QQQ,10,255,2.893429481503643,21.0
DIA,15,20,0.7230021572964258,152.0
SPY,15,20,0.6853459756456648,156.0
QQQ,15,20,3.2084888479231575,152.0
DIA,15,25,1.3741246289061206,106.0
SPY,15,25,1.0633610602743824,102.0
QQQ,15,25,2.1496650439590064,104.0
DIA,15,30,0.719003303411806,91.0
SPY,15,30,0.8215866931825251,91.0
QQQ,15,30,4.146587754375422,82.0
DIA,15,35,1.1439506076243893,77.0
SPY,15,35,0.6609964953849594,73.0
QQQ,15,35,4.376536658987091,75.0
DIA,15,40,0.800104142627633,73.0
SPY,15,40,0.8335731229476431,69.0
QQQ,15,40,3.2569757592226214,69.0
DIA,15,45,0.6705171353671504,65.0
SPY,15,45,0.9489046944922324,65.0
QQQ,15,45,2.64260320048873,59.0
DIA,15,50,0.929396278203332,62.0
SPY,15,50,0.8514162863056938,61.0
QQQ,15,50,2.5141719408591854,55.0
DIA,15,55,0.5408634126022511,62.0
SPY,15,55,0.8896879411371372,57.0
QQQ,15,55,2.3896374215698883,52.0
DIA,15,60,0.6313401387873994,53.0
SPY,15,60,1.5431251681388845,52.0
QQQ,15,60,2.6092095626958622,48.0
DIA,15,65,0.982632989924594,51.0
SPY,15,65,2.121994484541585,44.0
QQQ,15,65,1.995359828679376,47.0
DIA,15,70,1.0842049470595527,47.0
SPY,15,70,1.8037063236104642,43.0
QQQ,15,70,2.8922222764227876,45.0
DIA,15,75,0.9890476667120411,45.0
SPY,15,75,1.4118370517120673,39.0
QQQ,15,75,1.7575426197413946,43.0
DIA,15,80,1.1031046054851341,44.0
SPY,15,80,1.3898419966517888,39.0
QQQ,15,80,1.7066624861257718,40.0
DIA,15,85,0.8124092998663928,45.0
SPY,15,85,1.3867275896190772,39.0
QQQ,15,85,1.625133302073332,40.0
DIA,15,90,0.53897804892751,48.0
SPY,15,90,1.74825207313231,37.0
QQQ,15,90,1.6060007231007014,37.0
DIA,15,95,0.5696731509970479,46.0
SPY,15,95,1.648030303803663,34.0
QQQ,15,95,2.0728535733352365,34.0
DIA,15,100,0.6983975652484402,50.0
SPY,15,100,1.1911871412469743,33.0
QQQ,15,100,2.069486440806656,32.0
DIA,15,105,0.6807341243738814,47.0
SPY,15,105,1.2268337944239671,34.0
QQQ,15,105,1.7350396949830986,31.0
DIA,15,110,0.6958711970567695,42.0
SPY,15,110,1.252624528575002,35.0
QQQ,15,110,1.5995667217106369,32.0
DIA,15,115,0.6930392461331576,41.0
SPY,15,115,1.189963277978567,33.0
QQQ,15,115,2.2031589352834624,29.0
DIA,15,120,0.7097484726508885,39.0
SPY,15,120,1.5699620623732127,29.0
QQQ,15,120,2.0373286172877867,28.0
DIA,15,125,0.9213160556307576,39.0
SPY,15,125,1.5830932904705954,27.0
QQQ,15,125,1.9484873002359842,28.0
DIA,15,130,0.5902130516674424,41.0
SPY,15,130,1.869119893621105,28.0
QQQ,15,130,1.3607544852872682,29.0
DIA,15,135,0.739197318411486,40.0
SPY,15,135,1.6325675400993207,29.0
QQQ,15,135,1.7231470266816435,26.0
DIA,15,140,0.901550682307793,37.0
SPY,15,140,1.8176287678948584,28.0
QQQ,15,140,2.012714799790942,25.0
DIA,15,145,0.8900134295696576,39.0
SPY,15,145,1.5620038236357883,28.0
QQQ,15,145,1.3282358756225578,27.0
DIA,15,150,0.7140180082797702,37.0
SPY,15,150,1.5657433036586927,25.0
QQQ,15,150,0.7491962884331922,27.0
DIA,15,155,0.7900091179923574,35.0
SPY,15,155,1.8679283408821377,23.0
QQQ,15,155,1.1062157423671861,26.0
DIA,15,160,0.7166003541095958,36.0
SPY,15,160,2.241059465747619,22.0
QQQ,15,160,0.977434007795372,27.0
DIA,15,165,0.9631615903738366,32.0
SPY,15,165,2.3986901821026403,18.0
QQQ,15,165,1.2478862930618457,30.0
DIA,15,170,0.885648215081593,30.0
SPY,15,170,2.574142368609983,14.0
QQQ,15,170,1.1515421332091575,27.0
DIA,15,175,0.8490065255750976,29.0
SPY,15,175,2.606506374196282,14.0
QQQ,15,175,1.135290130693965,28.0
DIA,15,180,1.2613135649826965,27.0
SPY,15,180,2.715690429700471,13.0
QQQ,15,180,1.3832545974273205,28.0
DIA,15,185,1.1341160877371261,26.0
SPY,15,185,2.8126701378943886,16.0
QQQ,15,185,1.5553595415167782,28.0
DIA,15,190,0.9571979485771065,26.0
SPY,15,190,2.1794944300779004,16.0
QQQ,15,190,1.4319415697293758,27.0
DIA,15,195,1.0066164976684213,25.0
SPY,15,195,2.195045954624689,16.0
QQQ,15,195,1.517373044370676,27.0
DIA,15,200,1.2109854381131666,26.0
SPY,15,200,2.1934786061288123,17.0
QQQ,15,200,2.390807787587643,25.0
DIA,15,205,1.145597608525573,28.0
SPY,15,205,2.3286248103618252,15.0
QQQ,15,205,2.653256187205003,23.0
DIA,15,210,1.2153542948723621,27.0
SPY,15,210,2.0010144877486007,14.0
QQQ,15,210,3.261049630441276,21.0
DIA,15,215,1.344722733377457,27.0
SPY,15,215,1.9412821207508002,14.0
QQQ,15,215,3.045674410045719,19.0
DIA,15,220,1.4030435114012207,25.0
SPY,15,220,2.3000810468416613,13.0
QQQ,15,220,3.689335811376634,16.0
DIA,15,225,1.6502052088899526,25.0
SPY,15,225,2.1243811580740024,15.0
QQQ,15,225,4.031543016497985,16.0
DIA,15,230,1.5733909892242575,22.0
SPY,15,230,1.917576391373021,14.0
QQQ,15,230,3.9834700021195193,16.0
DIA,15,235,1.5550070793505455,21.0
SPY,15,235,2.0621397898266243,14.0
QQQ,15,235,3.6860640066237726,16.0
DIA,15,240,1.6035473129886233,21.0
SPY,15,240,1.9605444017357114,14.0
QQQ,15,240,3.6415824569803705,16.0
DIA,15,245,1.4969990556073238,21.0
SPY,15,245,2.005763968472284,14.0
QQQ,15,245,3.6944129269415127,16.0
DIA,15,250,1.7582276196776712,21.0
SPY,15,250,1.9811882700567591,14.0
