Date,DIA,QQQ,SPY
2019-03-18,229.90301513671875,171.7075958251953,256.49005126953125
2019-03-19,229.80532836914062,172.2849578857422,256.5536804199219
2019-03-20,228.39393615722656,172.9680938720703,255.7813262939453
2019-03-21,230.4267120361328,175.6719970703125,258.6704406738281
2019-03-22,226.3255615234375,171.8134307861328,253.69192504882812
2019-03-25,226.42324829101562,171.48629760742188,253.5010528564453
2019-03-26,227.65711975097656,172.2849578857422,255.39073181152344
2019-03-27,227.34645080566406,171.1783905029297,254.05532836914062
2019-03-28,228.20750427246094,171.5728759765625,255.0182342529297
2019-03-29,230.02720642089844,172.87191772460938,256.6263732910156
2019-04-01,232.9210968017578,175.16195678710938,259.6697082519531
2019-04-02,232.29969787597656,175.8258819580078,259.796875
2019-04-03,232.57485961914062,176.83627319335938,260.2056579589844
2019-04-04,234.15499877929688,176.7688751220703,260.89617919921875
2019-04-05,234.49232482910156,177.68296813964844,262.1589660644531
2019-04-08,233.65797424316406,178.13523864746094,262.3588562011719
2019-04-09,232.13986206054688,177.50979614257812,261.01422119140625
2019-04-10,232.21987915039062,178.46240234375,261.904541015625
2019-04-11,232.04234313964844,178.03897094726562,261.8318786621094
2019-04-12,234.41244506835938,178.80877685546875,263.6033935546875
2019-04-15,234.18165588378906,178.83761596679688,263.4307861328125
2019-04-16,234.82077026367188,179.4534149169922,263.6033935546875
2019-04-17,234.82077026367188,180.07888793945312,262.9583740234375
2019-04-18,235.87599182128906,180.30984497070312,263.4762268066406
2019-04-22,235.44085693359375,180.81979370117188,263.70330810546875
2019-04-23,236.69320678710938,183.11944580078125,266.07440185546875
2019-04-24,236.19577026367188,182.54220581054688,265.4838562011719
2019-04-25,234.96115112304688,183.2831268310547,265.3204040527344
2019-04-26,235.68060302734375,183.44664001464844,266.55596923828125
2019-04-29,235.76942443847656,183.8026885986328,266.9738464355469
2019-04-30,236.080322265625,182.3785858154297,267.1100769042969
2019-05-01,234.62353515625,181.79165649414062,265.1023254394531
2019-05-02,233.49557495117188,181.0026397705078,264.530029296875
2019-05-03,235.35191345214844,183.88925170898438,267.1192626953125
2019-05-06,234.73013305664062,182.76345825195312,266.01995849609375
2019-05-07,230.51112365722656,179.20327758789062,261.5774841308594
2019-05-08,230.63552856445312,178.7510223388672,261.21405029296875
2019-05-09,229.55184936523438,177.78884887695312,260.4237976074219
2019-05-10,230.8663787841797,178.0101318359375,261.7319030761719
2019-05-13,225.13746643066406,171.83267211914062,255.1545867919922
2019-05-14,227.21578979492188,173.71861267089844,257.4620666503906
2019-05-15,228.2017364501953,176.1723175048828,258.9700622558594
2019-05-16,230.19134521484375,177.94277954101562,261.3685302734375
2019-05-17,229.23330688476562,176.1242218017578,259.67877197265625
2019-05-20,228.5476837158203,173.15093994140625,257.9617614746094
2019-05-21,230.41758728027344,174.9599151611328,260.2874450683594
2019-05-22,229.37571716308594,174.18052673339844,259.4880065917969
2019-05-23,226.8468780517578,171.51513671875,256.3173522949219
2019-05-24,228.05792236328125,171.4285430908203,256.8988342285156
2019-05-28,225.6983184814453,170.78387451171875,254.50950622558594
2019-05-29,223.73924255371094,169.3790283203125,252.8015594482422
2019-05-30,224.27354431152344,170.09109497070312,253.49212646484375
2019-05-31,221.02346801757812,167.37762451171875,250.07611083984375
2019-06-03,221.27279663085938,163.6923370361328,249.4402618408203
2019-06-04,225.8584747314453,168.3013916015625,254.8548126220703
2019-06-05,227.71058654785156,169.5522918701172,257.0622863769531
2019-06-06,229.4826202392578,170.8993377685547,258.7339172363281
2019-06-07,231.73545837402344,174.1997833251953,261.32305908203125
2019-06-10,232.39434814453125,176.2300567626953,262.52227783203125
2019-06-11,232.29641723632812,176.47059631347656,262.458740234375
2019-06-12,231.91351318359375,175.45062255859375,261.9954528808594
2019-06-13,232.90187072753906,176.4898681640625,263.076416015625
2019-06-14,232.8572998046875,175.7393341064453,262.7857666015625
