Date,QQQ,SPY,DIA
1999-03-11,0.004884082437478855,0.011065488648652335,0.013942404756158317
1999-03-12,-0.024662688174777205,-0.009615585641700163,-0.006788889487851158
1999-03-15,0.02831015908334263,0.014150656480378951,0.011026985424571785
1999-03-16,0.00845912130154868,-0.0038173687399255976,-0.0029807967821134044
1999-03-17,-0.007246684538382384,-0.0043126501967723505,-0.005198007898876606
1999-03-18,0.019208287441097913,0.015958428704284724,0.013958784930457255
1999-03-19,-0.02589701961095118,-0.01714379923156044,-0.016102684582462837
1999-03-22,-0.012278064501339236,0.0019257478300554703,0.005691154711001873
1999-03-23,-0.035841227156741,-0.02928445779592222,-0.02554530486635067
1999-03-24,0.0333677409586088,0.005679555699611893,0.0022615693288903557
1999-03-25,0.03588151510203314,0.020231936959775352,0.018227060127101645
1999-03-26,-0.010811238709972052,-0.007265404084840161,-0.003491229077177199
1999-03-29,0.03559067934767271,0.01997489641957354,0.016085963805587064
1999-03-30,-0.0070175041021161835,-0.0052563524445749365,-0.005962480459367647
1999-03-31,-0.014780175949651222,-0.0161778671667416,-0.015544083998073221
1999-04-01,0.020632070658035497,0.0075182060998388095,0.005260545931019891
1999-04-05,0.03553381597341371,0.02340096809830346,0.01874517390208442
1999-04-06,0.001968808351313155,-0.0023632774382668625,-0.005005377022668641
1999-04-07,-0.010451149024886352,0.008011456677045156,0.013706537783567544
1999-04-08,0.007918624512030558,0.012593563754934419,0.010464706868953509
1999-04-09,0.006178469507959536,0.00023193500161586256,-0.0018379477986821993
1999-04-12,-0.0067419353726616725,0.01060129709735735,0.01597549325026076
1999-04-13,-0.013621125083569703,-0.006439315333762964,0.005869711510529901
1999-04-14,-0.034887505876908066,-0.016987480520144916,0.002098263465762024
1999-04-15,0.0135177156278919,-0.0037618449242491935,0.004780263350551313
1999-04-16,-0.029622758581072762,-0.00851708285991956,-0.0028136966430851434
1999-04-19,-0.04803857892896121,-0.015563698376168666,-0.001495556414991132
1999-04-20,0.022458611107817543,0.012470424856012035,0.0008978068634535965
1999-04-21,0.04817305770747168,0.028197700060875786,0.019256740439296826
1999-04-22,0.026683760287621767,0.009454217394294405,0.009055707244167273
1999-04-23,0.013079535879177873,-0.0025271436588213333,-0.003495387665276029
1999-04-26,0.022761337554506777,0.0057352123842912125,0.0014583637925656514
1999-04-27,-0.015443684939538703,0.004793551810325178,0.010434449445133468
1999-04-28,-0.0348106837671525,-0.013755763006996592,-0.0010097539055693994
1999-04-29,-0.008163509432311398,-0.007646689328147019,0.004751226552828926
1999-04-30,0.006419721677411969,-0.008174701114072338,-0.010685246935057999
1999-05-03,-0.005249429961921563,0.01812763068275122,0.023812489005545345
1999-05-04,-0.015915083309546628,-0.014382608237070004,-0.008828036604421623
1999-05-05,0.029852703928479843,0.007912639468494163,0.001145249830895133
1999-05-06,-0.03700855463993027,-0.006161594233289758,0.001140950189044303
1999-05-07,0.014260603943020865,0.007551550849809902,0.008525622826119253
1999-05-10,0.009979337930267368,-0.004989336776643361,-0.003969572229090627
1999-05-11,0.0156480929487596,0.01006934892869901,0.0019857859874534887
1999-05-12,0.020489901793187736,0.00779982270513329,-0.0005661074246171178
1999-05-13,-0.018766400115548466,0.004332179216027885,0.009880032278987108
1999-05-14,-0.019125408605848028,-0.02628023412886972,-0.019286565320467193
1999-05-17,0.017833102296525856,0.003031584535492463,-0.0034417547817599606
1999-05-18,-0.004464676828680379,-0.001865060483029929,0.0007178204776389726
1999-05-19,0.013761875989609193,0.007207094200717746,0.0021503137479635445
1999-05-20,-0.02786208552792101,-0.006041204933220053,-0.0022938489074479412
1999-05-21,-0.009265244083460631,-0.005608488323627835,-0.003076095750790078
1999-05-24,-0.025742666708130822,-0.016779708013124277,-0.017473283531249502
1999-05-25,-0.03329506992771353,-0.016338592724502006,-0.012415183553969426
1999-05-26,0.027517436338715093,0.011082190356682455,0.018274057836203915
1999-05-27,-0.0009149932268730478,-0.014479426573032708,-0.0200599239455257
1999-05-28,0.016348757811463978,0.012680910601904913,0.0025294647211257675
1999-06-01,-0.02247273790671596,-0.0034860365572036466,0.009024981886811103
1999-06-02,0.016750958542202713,0.0009621253027772401,-0.0016215158484221728
1999-06-03,-0.01429702313302316,0.005518837542329412,0.007787561027967569
1999-06-04,0.030177299237948447,0.019901157065408116,0.01366502368614221
1999-06-07,0.020594974588052477,0.002577831172328049,0.006906564936859145
1999-06-08,-0.02536202979644201,-0.009876281958987198,-0.01124812814601158
1999-06-09,0.01658752159539684,-0.0009452984692961071,-0.005816361397727754
1999-06-10,-0.01152298439649185,-0.00926701770647545,-0.008496199686363334
1999-06-11,-0.015272171888681279,-0.008390081048712427,-0.011838218238550014
1999-06-14,-0.01903984989453838,0.0009622232773021328,0.006823975489013231
1999-06-15,0.01480625235160632,0.006711804627062503,0.006190618719274877
1999-06-16,0.05008855188276415,0.018931128709423636,0.013427310812124317
1999-06-17,0.011035487168718067,0.009332527561961975,0.0086602532134397
1999-06-18,0.0045504509957448565,0.0011546184776680412,-0.0012242117598820147
1999-06-21,0.02949811978198296,0.002323499579251073,-0.003175803979449455
1999-06-22,-0.030633935952429716,-0.006987753758210067,-0.008999109018511049
1999-06-23,0.015643772027702098,-0.0049205894901248985,-0.006144028675316744
1999-06-24,-0.020057049112858872,-0.007545770327114267,-0.008248744767878116
1999-06-25,-0.0012848244513474702,-0.002488131530813665,0.0010343415650500144
1999-06-28,0.023437717323974542,0.012145678403800807,0.008974649435749845
1999-06-29,0.013583051432151131,0.009333180124447673,0.008748988074910622
